SeriesInd,group,Var01,Var02,Var03,Var05,Var07
40718,S03,28.92857171,97640900,28.45571514,28.905714,28.63142771
40719,S03,28.76142886,143773700,27.95857043,28.57142829,28.15142829
40720,S03,28.77714343,115141600,28.26285743,28.31857114,28.66571429
40721,S03,28.97999957,166281500,28.127142,28.19714357,28.85714343
40722,S03,29.30999943,126865200,28.85714343,28.91142843,29.23142814
40725,S03,29.92857171,137523400,29.35000043,29.39285657,29.85571486
40726,S03,30.11857229,141636600,29.67714314,29.98999971,29.83571429
40727,S03,29.98142814,93013200,29.70571514,29.84857171,29.90428543
40728,S03,30.13142771,91510300,29.804285,29.89714243,30.101429
40729,S03,31.38571357,224905100,30.66142843,30.70571514,31.27857214
40732,S03,31.44142914,107472400,31.17857171,31.43000029,31.297142
40733,S03,32.14285657,230064800,31.127142,31.18714329,31.86000057
40734,S03,32.21142957,149054500,31.88571357,31.97571371,32.119999
40735,S03,32.21428686,101425100,31.90285686,31.98714257,32.21428686
40736,S03,32.532856,104080900,32.25,32.48143,32.37142943
40739,S03,32.21428686,123375700,31.46428486,32.19714357,31.97714229
40740,S03,32.13999943,111727000,31.78714371,32.02571486,32.06428529
40741,S03,32.34999843,112739200,31.89571386,32.12857057,32.01714329
40742,S03,32.14285657,85527400,31.80142786,32.014286,32.09285743
40743,S03,32.17714314,139861400,31.60428614,32.11285786,31.75
40746,S03,32.28571314,114104900,31.45000071,31.49571414,32.10714343
40747,S03,32.68285757,150607800,32.014286,32.23428729,32.62285614
40748,S03,32.88571543,149445100,32.50142671,32.52000043,32.76714329
40749,S03,32.99571614,135571100,32.32143014,32.98857114,32.37857057
40750,S03,33.13571543,160218800,32.65000157,32.70714186,32.985714
40753,S03,33.40999986,135186100,33.08856957,33.28571314,33.19857029
40754,S03,33.92571257,131827500,33.46428686,33.79999929,33.69285586
40755,S03,33.80142971,107664900,33.49428557,33.64142986,33.57143014
40756,S03,34.10428614,150786300,33.25,33.91571429,33.70999914
40760,S03,34.07285686,171126900,33.53857043,33.568573,34.06999971
40761,S03,34.31999971,111754300,33.85714343,34.02857214,34.22000129
40762,S03,34.56000143,157125500,34.094284,34.22142786,34.37142943
40763,S03,34.50571443,143247300,34.00571443,34.34857171,34.27857214
40764,S03,34.55571371,83545700,34.351429,34.49000171,34.54142757
40767,S03,34.72428514,83256600,34.54428486,34.59999843,34.61285786
40768,S03,34.68571471,76552700,34.44428629,34.55142971,34.63285829
40769,S03,35.115715,101019100,34.86714171,35.04000086,35.09857171
40770,S03,35.57571414,94196200,35.07285686,35.11142729,35.56000143
40771,S03,35.87714386,187636400,34.93571471,35.50999829,35.34285743
40774,S03,35.412857,141731100,34.53857043,35.29000086,35.29571529
40775,S03,35.60714343,184581600,34.70857243,35.50571443,34.94142914
40776,S03,37.17856986,245597800,36.532856,36.97142786,37.03142929
40777,S03,38.10714343,198356200,36.59999843,36.89142986,38.06714243
40778,S03,38.88285829,199238900,38.14285657,38.28428643,38.68999857
40781,S03,38.92285543,119767200,38.31285857,38.84000014,38.5
40782,S03,38.26285557,177335900,37.217144,38.181427,37.43428414
40783,S03,37.71428686,189600600,36.630001,37.60714343,37.37142943
40784,S03,38.57143014,139710200,37.43000029,37.57428743,38.37714386
40785,S03,38.65285871,135615900,37.28571314,38.47285843,37.29857257
40788,S03,38.26857,113585500,37.554287,37.69142914,38.04999929
40789,S03,37.61285786,180954900,36.67856986,37.55571371,36.95428471
40790,S03,36.87714386,220775800,35.532856,36.14714429,36.56999971
40791,S03,36.89285657,321465200,28.46428486,36.26142886,35.17856986
40792,S03,35.22428514,419004600,32.17285543,34.81571586,33.69428629
40795,S03,36.37857057,246076600,35.50428386,35.75,36.28428643
40796,S03,37.12714386,212226700,35.78571314,35.97714229,36.64571386
40797,S03,37.59000014,163594900,36.95714186,37.03428643,37.44142914
40798,S03,37.85714343,149928100,36.62857057,37.60285571,36.90857314
40799,S03,36.63999943,189840700,35.64285657,36.45142743,36.25999829
40802,S03,36.59714129,190708700,35.38714214,36.38571543,36.31714243
40803,S03,36.93571471,195669600,35.75142671,36.71142957,36.05142971
40804,S03,36.13142771,256431700,34.97857286,35.64285657,35.47714229
40805,S03,34.83571243,320728800,33.74428557,34.554287,33.96571357
40806,S03,34.92856986,305972800,33.04999929,33.25999829,34.61714171
40809,S03,35.84285743,188559700,35.18000029,35.32571414,35.25142671
40810,S03,35.25142671,262001600,33.880001,34.19285586,35.03142929
40811,S03,36.01857,212663500,34.82143014,35.72571557,34.87285614
40812,S03,36.27000043,166570600,35.587143,35.79999929,36.19285586
40813,S03,37.05714414,203903700,36.19285586,37.05571371,36.69714357
40817,S03,37.99142843,219118200,36.99428557,37.09857171,37.26142886
40818,S03,37.82857129,172137000,37.18999857,37.79142757,37.70714186
40819,S03,37.93571471,162526700,37.20142743,37.88285829,37.58856957
40820,S03,37.41428757,189576100,36.37571329,36.88714214,36.56571586
40823,S03,37.02142714,221735500,35.79285814,36.898571,35.84857171
40824,S03,36.25714114,250192600,35.09285743,36.17714314,35.61857229
40825,S03,35.985714,213657500,34.64142986,35.92428586,34.74285886
40826,S03,35.85428614,194089000,34.59999843,34.97714229,35.78714371
40827,S03,36.26571271,136439800,35.33856957,35.46142957,36.21571357
40830,S03,37.02142714,150740100,36.28714371,36.56571586,36.32571414
40831,S03,37.12142943,146268500,36.5,36.52000043,37.09857171
40832,S03,38.25,195919500,37.23285671,37.29999929,38.17856986
40833,S03,38.985714,218213800,38.5,38.65714257,38.83856957
40834,S03,39.28571314,196155400,38.77428443,38.89285657,39.15285871
40837,S03,39.85857014,194122600,38.38999943,39.66999814,38.59571457
40838,S03,39.42428586,179315500,38.78571314,38.880001,39.12142943
40839,S03,39.23714443,192114300,38.27142714,39.22571557,38.70999914
40840,S03,39.02857214,178569300,38.29999929,38.71428686,38.42856986
40841,S03,38.61000057,137485600,37.97285843,38.58000186,38.09999843
40844,S03,38.53571314,146237000,37.78857043,38.13285829,38.32857129
40845,S03,37.77000043,283336200,36.32857129,37.73143,36.59571457
40846,S03,36.85285571,184863000,35.71571357,36.67285543,35.93285757
40847,S03,36.40000157,255724000,34.74571614,36.32857129,35.49714286
40848,S03,35.84714129,173460700,34.74285886,35.78428643,35.27714157
40852,S03,36.11428457,153808900,35.16571429,35.85714343,35.51857
40853,S03,36.967144,163639000,35.67856986,35.78428643,36.952858
40854,S03,37.55714414,184536100,36.412857,37.49714286,36.869999
40855,S03,37.12857057,108330600,36.45142743,36.69857029,37.08856957
40858,S03,37.40714257,140719600,36.40857314,36.93285757,36.75571443
40859,S03,36.62857057,297731000,35.20428471,36.61714171,35.97142786
40860,S03,36.54285814,203011900,35.57143014,35.62571329,36.10428614
40861,S03,36.70999914,206216500,35.32857129,35.46142957,35.92142871
40862,S03,36.42428586,259964600,35.48714443,36.16857143,35.70000071
40865,S03,35.69714357,256119500,34.22857286,35.69714357,35.082859
40866,S03,36.12857057,268737700,34.28714371,34.70000071,35.98428729
40867,S03,37.87857057,296417800,36.28571314,37.869999,36.31999971
40868,S03,37.14285657,161329700,36.47285843,36.811428,37.00285714
40869,S03,37.19714357,133347200,36.61142729,36.72714229,37.134285
40872,S03,37.15714257,105137900,36.81571586,37.14285657,37.04000086
40873,S03,37.82857129,146192900,37.18571471,37.26714329,37.72571557
